Geometria,Distance(cm),Material,Campo,Historias,Energy(eV),Seed1,Seed2,Filtro,ROI1,Erro ROI1,ROI2,Erro ROI2,ROI3,Erro ROI3,ROI4,Erro ROI4,ROI5,Erro ROI5,ROI6,Erro ROI6,ROI7,Erro ROI7,ROI8,Erro ROI8,ROI9,Erro ROI9,Simuladas
5cm_C.geo,90,CR.mat,30x30,2000000000.0,100,1105363631,1690040005,10Cu,110.631,0.0576425,122.104,0.060628,134.404,0.063656,155.166,0.0682465,157.135,0.0686475,155.89,0.068378,153.642,0.067892,155.69,0.0682955,153.886,0.067938,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,110,1745338279,2116966872,10Cu,110.732,0.0588525,121.788,0.0617655,133.229,0.0646345,152.706,0.0690175,154.675,0.069421,153.455,0.069152,151.112,0.0686495,153.031,0.069029,151.18,0.068655,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,120,1415081210,406047138,10Cu,110.273,0.0597495,120.737,0.0625625,131.546,0.0653145,150.127,0.069574,151.897,0.0699305,150.76,0.069684,148.197,0.069112,150.172,0.0695115,148.313,0.0691125,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,130,1528048405,1710919734,10Cu,109.193,0.0603525,119.375,0.0631395,129.598,0.065778,147.25,0.0698875,149.357,0.070352,147.962,0.0700365,145.401,0.0694455,147.339,0.06985,145.6,0.069491,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,140,877804012,402834872,10Cu,108.592,0.0607475,118.576,0.063502,128.193,0.0659935,145.599,0.0701165,147.563,0.0705425,146.254,0.0702355,143.637,0.069632,145.711,0.0700795,143.777,0.069663,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,150,1806956749,855459867,10Cu,108.365,0.0609655,118.098,0.0636635,127.675,0.066178,144.78,0.070251,146.671,0.070654,145.381,0.0703575,142.639,0.069709,144.619,0.07014,142.677,0.0697145,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,40,2137213818,2139452734,00Cu,0.328134,0.00225306,0.333027,0.00227852,0.401436,0.00250879,0.599506,0.003066435,0.60999,0.00309618,0.6119,0.0031022,0.618249,0.00311535,0.632669,0.00314765,0.621987,0.003124825,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,50,2055055858,409259404,00Cu,0.980521,0.004142295,1.03106,0.004264035,1.19029,0.0045928,1.63217,0.00536655,1.66937,0.0054286,1.67066,0.0054329,1.65987,0.0054093,1.7122,0.00548945,1.67061,0.00542685,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,60,1435620700,1274356069,00Cu,1.86489,0.0059969,1.9621,0.00617745,2.22108,0.006574,2.88055,0.0074645,2.95329,0.0075503,2.94467,0.00754525,2.91969,0.00750495,2.99552,0.0075979,2.91119,0.0074888,2000000000.0
20cm_C.geo,75,CR.mat,30x30,2000000000.0,70,176210894,831367872,00Cu,2.82345,0.0076737,2.9692,0.0078954,3.29815,0.00832365,4.15655,0.00929435,4.2805,0.0094284,4.22067,0.00935925,4.17242,0.00929905,4.31242,0.0094454,4.18042,0.00931095,2000000000.0
